------------------------------------------------------------
Client connecting to 172.19.0.2, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 172.18.0.2 port 45686 connected with 172.19.0.2 port 5001 (icwnd/mss/irtt=1/1448/6000)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  5.22 GBytes  44.8 Gbits/sec
[  1] 1.0000-2.0000 sec  5.46 GBytes  46.9 Gbits/sec
[  1] 2.0000-3.0000 sec  4.59 GBytes  39.4 Gbits/sec
[  1] 3.0000-4.0000 sec  5.02 GBytes  43.1 Gbits/sec
[  1] 4.0000-5.0000 sec  4.88 GBytes  41.9 Gbits/sec
[  1] 5.0000-6.0000 sec  3.34 GBytes  28.7 Gbits/sec
[  1] 6.0000-7.0000 sec  5.27 GBytes  45.3 Gbits/sec
[  1] 7.0000-8.0000 sec  3.49 GBytes  30.0 Gbits/sec
[  1] 8.0000-9.0000 sec  2.90 GBytes  24.9 Gbits/sec
[  1] 9.0000-10.0000 sec  2.98 GBytes  25.6 Gbits/sec
[  1] 10.0000-11.0000 sec  4.88 GBytes  41.9 Gbits/sec
[  1] 11.0000-12.0000 sec  3.20 GBytes  27.5 Gbits/sec
[  1] 12.0000-13.0000 sec  5.05 GBytes  43.4 Gbits/sec
[  1] 13.0000-14.0000 sec  5.21 GBytes  44.8 Gbits/sec
[  1] 14.0000-15.0000 sec  3.44 GBytes  29.5 Gbits/sec
[  1] 15.0000-16.0000 sec  4.82 GBytes  41.4 Gbits/sec
[  1] 16.0000-17.0000 sec  4.94 GBytes  42.4 Gbits/sec
[  1] 17.0000-18.0000 sec  3.14 GBytes  27.0 Gbits/sec
[  1] 18.0000-19.0000 sec  2.43 GBytes  20.9 Gbits/sec
[  1] 19.0000-20.0000 sec  2.72 GBytes  23.3 Gbits/sec
[  1] 20.0000-21.0000 sec  3.66 GBytes  31.4 Gbits/sec
[  1] 21.0000-22.0000 sec  5.15 GBytes  44.2 Gbits/sec
[  1] 22.0000-23.0000 sec  5.15 GBytes  44.2 Gbits/sec
[  1] 23.0000-24.0000 sec  4.13 GBytes  35.5 Gbits/sec
[  1] 24.0000-25.0000 sec  3.81 GBytes  32.7 Gbits/sec
[  1] 25.0000-26.0000 sec  3.84 GBytes  33.0 Gbits/sec
[  1] 26.0000-27.0000 sec  3.90 GBytes  33.5 Gbits/sec
[  1] 27.0000-28.0000 sec  4.16 GBytes  35.7 Gbits/sec
[  1] 28.0000-29.0000 sec  4.10 GBytes  35.3 Gbits/sec
[  1] 29.0000-30.0000 sec  3.62 GBytes  31.1 Gbits/sec
[  1] 30.0000-31.0000 sec  3.58 GBytes  30.7 Gbits/sec
[  1] 31.0000-32.0000 sec  3.98 GBytes  34.2 Gbits/sec
[  1] 32.0000-33.0000 sec  3.98 GBytes  34.2 Gbits/sec
[  1] 33.0000-34.0000 sec  4.01 GBytes  34.4 Gbits/sec
[  1] 34.0000-35.0000 sec  4.05 GBytes  34.8 Gbits/sec
[  1] 35.0000-36.0000 sec  3.54 GBytes  30.4 Gbits/sec
[  1] 36.0000-37.0000 sec  3.80 GBytes  32.7 Gbits/sec
[  1] 37.0000-38.0000 sec  2.99 GBytes  25.7 Gbits/sec
[  1] 38.0000-39.0000 sec  2.50 GBytes  21.5 Gbits/sec
[  1] 39.0000-40.0000 sec  2.99 GBytes  25.7 Gbits/sec
[  1] 40.0000-41.0000 sec  3.64 GBytes  31.2 Gbits/sec
[  1] 41.0000-42.0000 sec  3.45 GBytes  29.7 Gbits/sec
[  1] 42.0000-43.0000 sec  4.09 GBytes  35.2 Gbits/sec
[  1] 43.0000-44.0000 sec  3.82 GBytes  32.8 Gbits/sec
[  1] 44.0000-45.0000 sec  3.94 GBytes  33.8 Gbits/sec
