------------------------------------------------------------
Client connecting to 172.19.0.2, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 172.18.0.3 port 45822 connected with 172.19.0.2 port 5001 (icwnd/mss/irtt=1/1448/3000)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  2.66 GBytes  22.8 Gbits/sec
[  1] 1.0000-2.0000 sec  3.00 GBytes  25.7 Gbits/sec
[  1] 2.0000-3.0000 sec  2.07 GBytes  17.8 Gbits/sec
[  1] 3.0000-4.0000 sec  1.44 GBytes  12.4 Gbits/sec
[  1] 4.0000-5.0000 sec  2.77 GBytes  23.8 Gbits/sec
[  1] 5.0000-6.0000 sec  3.02 GBytes  25.9 Gbits/sec
[  1] 6.0000-7.0000 sec  3.02 GBytes  26.0 Gbits/sec
[  1] 7.0000-8.0000 sec  3.02 GBytes  25.9 Gbits/sec
[  1] 8.0000-9.0000 sec  3.02 GBytes  25.9 Gbits/sec
[  1] 9.0000-10.0000 sec  3.02 GBytes  25.9 Gbits/sec
[  1] 10.0000-11.0000 sec  2.39 GBytes  20.5 Gbits/sec
[  1] 11.0000-12.0000 sec  1.69 GBytes  14.6 Gbits/sec
[  1] 12.0000-13.0000 sec  2.97 GBytes  25.5 Gbits/sec
[  1] 13.0000-14.0000 sec  1.60 GBytes  13.7 Gbits/sec
[  1] 14.0000-15.0000 sec  1.85 GBytes  15.9 Gbits/sec
[  1] 15.0000-16.0000 sec  2.65 GBytes  22.7 Gbits/sec
[  1] 16.0000-17.0000 sec  3.06 GBytes  26.3 Gbits/sec
[  1] 17.0000-18.0000 sec  3.05 GBytes  26.2 Gbits/sec
[  1] 18.0000-19.0000 sec  2.83 GBytes  24.3 Gbits/sec
[  1] 19.0000-20.0000 sec  3.03 GBytes  26.0 Gbits/sec
[  1] 20.0000-21.0000 sec  2.44 GBytes  21.0 Gbits/sec
[  1] 21.0000-22.0000 sec  2.67 GBytes  23.0 Gbits/sec
[  1] 22.0000-23.0000 sec  3.00 GBytes  25.7 Gbits/sec
[  1] 23.0000-24.0000 sec  2.95 GBytes  25.4 Gbits/sec
[  1] 24.0000-25.0000 sec  2.50 GBytes  21.5 Gbits/sec
[  1] 25.0000-26.0000 sec  2.49 GBytes  21.4 Gbits/sec
[  1] 26.0000-27.0000 sec  3.11 GBytes  26.7 Gbits/sec
[  1] 27.0000-28.0000 sec  3.11 GBytes  26.7 Gbits/sec
[  1] 28.0000-29.0000 sec  3.11 GBytes  26.7 Gbits/sec
[  1] 29.0000-30.0000 sec  3.07 GBytes  26.4 Gbits/sec
[  1] 30.0000-31.0000 sec  3.10 GBytes  26.6 Gbits/sec
[  1] 31.0000-32.0000 sec  2.95 GBytes  25.4 Gbits/sec
[  1] 32.0000-33.0000 sec  2.66 GBytes  22.8 Gbits/sec
[  1] 33.0000-34.0000 sec  2.88 GBytes  24.7 Gbits/sec
[  1] 34.0000-35.0000 sec  2.10 GBytes  18.0 Gbits/sec
[  1] 35.0000-36.0000 sec  1.81 GBytes  15.6 Gbits/sec
[  1] 36.0000-37.0000 sec  1.43 GBytes  12.3 Gbits/sec
[  1] 37.0000-38.0000 sec  1.72 GBytes  14.8 Gbits/sec
[  1] 38.0000-39.0000 sec  2.72 GBytes  23.3 Gbits/sec
[  1] 39.0000-40.0000 sec  2.86 GBytes  24.6 Gbits/sec
[  1] 40.0000-41.0000 sec  2.98 GBytes  25.6 Gbits/sec
[  1] 41.0000-42.0000 sec  3.00 GBytes  25.8 Gbits/sec
[  1] 42.0000-43.0000 sec  2.95 GBytes  25.4 Gbits/sec
[  1] 43.0000-44.0000 sec  3.01 GBytes  25.8 Gbits/sec
[  1] 44.0000-45.0000 sec  3.03 GBytes  26.0 Gbits/sec
[  1] 45.0000-46.0000 sec  3.05 GBytes  26.2 Gbits/sec
[  1] 46.0000-47.0000 sec  3.05 GBytes  26.2 Gbits/sec
[  1] 47.0000-48.0000 sec  3.04 GBytes  26.1 Gbits/sec
[  1] 48.0000-49.0000 sec  2.93 GBytes  25.2 Gbits/sec
[  1] 49.0000-50.0000 sec  3.06 GBytes  26.3 Gbits/sec
[  1] 50.0000-51.0000 sec  3.07 GBytes  26.3 Gbits/sec
[  1] 51.0000-52.0000 sec  3.04 GBytes  26.1 Gbits/sec
[  1] 52.0000-53.0000 sec  3.06 GBytes  26.3 Gbits/sec
[  1] 53.0000-54.0000 sec  3.07 GBytes  26.4 Gbits/sec
[  1] 54.0000-55.0000 sec  2.19 GBytes  18.8 Gbits/sec
[  1] 55.0000-56.0000 sec  1.83 GBytes  15.7 Gbits/sec
[  1] 56.0000-57.0000 sec  1.63 GBytes  14.0 Gbits/sec
[  1] 57.0000-58.0000 sec  2.84 GBytes  24.4 Gbits/sec
[  1] 58.0000-59.0000 sec  2.96 GBytes  25.4 Gbits/sec
[  1] 59.0000-60.0000 sec  1.51 GBytes  12.9 Gbits/sec
[  1] 60.0000-61.0000 sec  1.43 GBytes  12.3 Gbits/sec
[  1] 61.0000-62.0000 sec  1.57 GBytes  13.5 Gbits/sec
[  1] 62.0000-63.0000 sec  2.25 GBytes  19.3 Gbits/sec
[  1] 63.0000-64.0000 sec  2.82 GBytes  24.2 Gbits/sec
[  1] 64.0000-65.0000 sec  2.92 GBytes  25.1 Gbits/sec
[  1] 65.0000-66.0000 sec  2.87 GBytes  24.7 Gbits/sec
[  1] 66.0000-67.0000 sec  3.01 GBytes  25.9 Gbits/sec
[  1] 67.0000-68.0000 sec  2.84 GBytes  24.4 Gbits/sec
[  1] 68.0000-69.0000 sec  1.80 GBytes  15.5 Gbits/sec
[  1] 69.0000-70.0000 sec  1.44 GBytes  12.4 Gbits/sec
[  1] 70.0000-71.0000 sec  1.44 GBytes  12.4 Gbits/sec
[  1] 71.0000-72.0000 sec  1.44 GBytes  12.4 Gbits/sec
[  1] 72.0000-73.0000 sec  1.43 GBytes  12.3 Gbits/sec
[  1] 73.0000-74.0000 sec  1.80 GBytes  15.5 Gbits/sec
